User ID,Timestamp,Status,Device IP
2,2025-04-04 17:50:57,25,192.168.1.20
1,2025-04-04 17:50:59,15,192.168.1.20
1,2025-04-04 17:58:08,15,192.168.1.20
1,2025-04-04 18:04:46,15,192.168.1.20
2,2025-04-04 18:05:01,25,192.168.1.20
